id,x,y
0,-1.99803,0.0887909
0,-2.07255,1.71131
0,-2.42607,3.4533
0,-2.95464,5.23278
0,-3.60557,7.0114
0,-4.34964,8.7771
0,-5.16894,10.5246
0,-6.04808,12.2468
0,-6.98228,13.9504
0,-7.96598,15.633
0,-8.99259,17.2907
0,-10.06,18.9267
0,-11.1662,20.5396
0,-12.3075,22.1277
0,-13.484,23.6924
0,-14.6934,25.2317
0,-15.9352,26.7459
0,-17.2083,28.2335
0,-18.5123,29.6944
0,-19.8462,31.1269
0,-21.2105,32.5309
0,-22.6034,33.9041
0,-24.0264,35.2469
0,-25.4772,36.556
0,-26.9579,37.8325
0,-28.4656,39.072
0,-30.003,40.2759
0,-31.5668,41.4396
0,-33.1598,42.5642
0,-34.7785,43.6447
0,-36.4259,44.6824
0,-38.0978,45.6719
0,-39.7976,46.6143
0,-41.5206,47.5042
0,-43.2702,48.3426
0,-45.041,49.1239
0,-46.8365,49.849
0,-48.4373,50.4382
0,-50.0263,50.3826
0,-53.527,52.737
0,-49.3471,54.6464
0,-49.1271,52.4512
0,-48.985,50.4221
0,-48.8651,48.4116
0,-48.7563,46.4066
0,-48.6541,44.4035
0,-48.5562,42.4022
0,-48.4612,40.4023
0,-48.3681,38.4034
0,-48.276,36.4047
0,-48.1841,34.4068
0,-48.0918,32.4099
0,-47.9984,30.4138
0,-47.9029,28.4184
0,-47.8043,26.4246
0,-47.7008,24.4334
0,-47.5901,22.4466
0,-47.4672,20.4675
0,-47.3203,18.506
0,-50.7487,17.426
1,1.99803,-0.0887909
1,1.88703,2.27854
1,1.44647,4.45501
1,0.836269,6.5091
1,0.112554,8.48638
1,-0.696564,10.4065
1,-1.57501,12.2806
1,-2.51433,14.121
1,-3.50335,15.9245
1,-4.53846,17.695
1,-5.61775,19.4379
1,-6.73605,21.1519
1,-7.89219,22.8376
1,-9.08517,24.4976
1,-10.3125,26.13
1,-11.5743,27.736
1,-12.869,29.3146
1,-14.1966,30.866
1,-15.5562,32.3891
1,-16.9482,33.8839
1,-18.3714,35.3486
1,-19.8269,36.7835
1,-21.3131,38.186
1,-22.8319,39.5565
1,-24.3809,40.8917
1,-25.9629,42.1923
1,-27.5747,43.4546
1,-29.2199,44.6787
1,-30.8946,45.8609
1,-32.6026,47.0011
1,-34.3397,48.0953
1,-36.11,49.1429
1,-37.9084,50.14
1,-39.7392,51.0856
1,-41.5967,51.9757
1,-43.4854,52.8091
1,-45.3987,53.5817
1,-47.562,54.3412
1,-49.9601,54.3821
1,-49.6966,53.8896
1,-53.2795,53.9141
1,-53.114,52.1287
1,-52.9769,50.1676
1,-52.8587,48.1852
1,-52.7507,46.1961
1,-52.6491,44.2043
1,-52.5516,42.2104
1,-52.4568,40.2148
1,-52.3638,38.2181
1,-52.2718,36.221
1,-52.1799,34.2231
1,-52.0875,32.2243
1,-51.994,30.2247
1,-51.8983,28.2247
1,-51.7992,26.2234
1,-51.6951,24.22
1,-51.5833,22.213
1,-51.4582,20.1998
1,-51.3064,18.1726
1,-47.1419,15.6965
