_timestamp,version,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc
1712562456230484,0,114474100,11.313823,46.434320,286.711000,240.662500,0.000000,-0.000000,0.000000,-0.000500,0.017300,0.023600
1712562456322169,0,114474200,11.313823,46.434320,286.711000,240.662600,-0.000000,0.000000,0.000000,-0.000400,0.017600,0.024300
1712562456427610,0,114474300,11.313823,46.434320,286.712100,240.663700,-0.000000,0.000000,0.000100,-0.000300,0.017800,0.024600
1712562456526601,0,114474400,11.313823,46.434320,286.707600,240.659200,0.000000,-0.000000,-0.000400,0.000200,0.018500,0.025400
1712562456627208,0,114474500,11.313823,46.434320,286.711500,240.663100,-0.000000,0.000000,-0.000500,0.000100,0.017800,0.024500
1712562456722304,0,114474600,11.313823,46.434320,286.714300,240.665900,0.000000,-0.000000,0.000300,-0.000100,0.017200,0.023800
1712562456818439,0,114474700,11.313823,46.434320,286.707400,240.658900,0.000000,0.000000,0.000400,-0.000100,0.017600,0.024100
1712562456923140,0,114474800,11.313823,46.434320,286.701800,240.653400,0.000000,0.000000,-0.000200,0.000400,0.017800,0.024400
1712562457023625,0,114474900,11.313823,46.434320,286.706600,240.658200,0.000000,0.000000,-0.000400,0.000200,0.017900,0.024600
1712562457146643,0,114475000,11.313823,46.434320,286.709400,240.661000,0.000000,-0.000000,0.000400,0.000000,0.018400,0.025200
1712562457228707,0,114475100,11.313823,46.434320,286.711800,240.663400,0.000000,-0.000000,-0.000200,0.000400,0.018300,0.025000
1712562457331828,0,114475200,11.313823,46.434320,286.707800,240.659400,0.000000,-0.000000,-0.000200,0.000400,0.018400,0.025200
1712562457427314,0,114475300,11.313823,46.434320,286.705200,240.656800,-0.000000,0.000000,0.000200,-0.000200,0.016800,0.023000
1712562457525522,0,114475400,11.313823,46.434320,286.710000,240.661600,-0.000000,0.000000,0.000000,-0.000400,0.016600,0.022300
1712562457628915,0,114475500,11.313823,46.434320,286.714600,240.666200,-0.000000,-0.000000,-0.000400,0.000200,0.017300,0.023700
1712562457719362,0,114475600,11.313823,46.434320,286.707800,240.659400,-0.000000,-0.000000,-0.000200,0.000400,0.018000,0.024800
1712562457824225,0,114475700,11.313823,46.434320,286.709600,240.661200,-0.000000,-0.000000,-0.000400,0.000200,0.018400,0.025500
1712562457923665,0,114475800,11.313823,46.434320,286.707900,240.659500,-0.000000,-0.000000,-0.000100,-0.000500,0.018300,0.025300
1712562458025180,0,114475900,11.313823,46.434320,286.704100,240.655700,0.000000,-0.000000,0.000100,-0.000300,0.018200,0.025100
1712562458131778,0,114476000,11.313823,46.434320,286.706100,240.657700,-0.000000,-0.000000,0.000100,-0.000300,0.017600,0.024300
1712562458232289,0,114476100,11.313823,46.434320,286.703600,240.655200,-0.000000,-0.000000,-0.000400,0.000200,0.018400,0.025300
1712562458323687,0,114476200,11.313823,46.434320,286.702400,240.654000,0.000000,-0.000000,0.000400,0.000000,0.018200,0.025000
1712562458423601,0,114476300,11.313823,46.434320,286.702200,240.653800,0.000000,-0.000000,0.000200,-0.000200,0.018000,0.024700
1712562458526436,0,114476400,11.313823,46.434320,286.705700,240.657300,-0.000000,-0.000000,-0.000300,0.000300,0.017800,0.024500
1712562458621040,0,114476500,11.313823,46.434320,286.703700,240.655300,-0.000000,0.000000,-0.000300,0.000300,0.017000,0.023300
